Time(s)	CH1(V)	CH2(V)	CH3(V)	CH4(V)
1.8768000000e-02	0.031250	0.000000	0.031250	0.031250
1.8776000000e-02	0.031250	0.000000	0.031250	0.031250
1.8784000000e-02	0.031250	0.000000	0.031250	0.031250
1.8792000000e-02	0.031250	0.000000	0.031250	0.031250
1.8800000000e-02	0.031250	0.000000	0.031250	0.031250
1.8808000000e-02	0.031250	0.000000	0.031250	0.031250
1.8816000000e-02	0.031250	0.000000	0.031250	0.031250
1.8824000000e-02	0.031250	0.000000	0.031250	0.031250
1.8832000000e-02	0.031250	0.031250	0.031250	0.031250
1.8840000000e-02	0.031250	0.000000	0.031250	0.031250
1.8848000000e-02	0.031250	0.000000	0.031250	0.031250
1.8856000000e-02	0.031250	0.000000	0.031250	0.031250
1.8864000000e-02	0.031250	0.000000	0.031250	0.031250
1.8872000000e-02	0.031250	0.000000	0.031250	0.031250
1.8880000000e-02	0.031250	0.000000	0.031250	0.031250
1.8888000000e-02	0.031250	0.000000	0.031250	0.031250
1.8896000000e-02	0.031250	0.000000	0.031250	0.031250
1.8904000000e-02	0.031250	0.000000	0.031250	0.031250
1.8912000000e-02	0.031250	0.000000	0.031250	0.031250
1.8920000000e-02	0.031250	0.000000	0.031250	0.031250
1.8928000000e-02	0.031250	0.000000	0.031250	0.031250
1.8936000000e-02	0.031250	0.000000	0.031250	0.031250
1.8944000000e-02	0.031250	0.000000	0.031250	0.031250
1.8952000000e-02	0.031250	0.000000	0.031250	0.031250
1.8960000000e-02	0.031250	0.000000	0.031250	0.031250
1.8968000000e-02	0.031250	0.000000	0.031250	0.031250
1.8976000000e-02	0.031250	0.000000	0.031250	0.031250
1.8984000000e-02	0.031250	0.000000	0.031250	0.031250
1.8992000000e-02	0.031250	0.000000	0.031250	0.031250
1.9000000000e-02	0.031250	0.000000	0.031250	0.031250
1.9008000000e-02	0.031250	0.000000	0.031250	0.031250
1.9016000000e-02	0.031250	0.000000	0.031250	0.031250
1.9024000000e-02	0.031250	0.000000	0.031250	0.031250
1.9032000000e-02	0.031250	0.000000	0.031250	0.031250
1.9040000000e-02	0.031250	0.031250	0.031250	0.031250
1.9048000000e-02	0.031250	0.000000	0.031250	0.031250
1.9056000000e-02	0.031250	0.000000	0.031250	0.031250
1.9064000000e-02	0.031250	0.000000	0.031250	0.031250
1.9072000000e-02	0.031250	0.000000	0.031250	0.031250
1.9080000000e-02	0.031250	0.000000	0.031250	0.031250
1.9088000000e-02	0.031250	0.000000	0.031250	0.031250
1.9096000000e-02	0.031250	0.000000	0.031250	0.031250
1.9104000000e-02	0.031250	0.031250	0.031250	0.031250
1.9112000000e-02	0.031250	0.000000	0.031250	0.031250
1.9120000000e-02	0.031250	0.000000	0.031250	0.031250
1.9128000000e-02	0.031250	0.000000	0.031250	0.031250
1.9136000000e-02	0.031250	0.000000	0.031250	0.031250
1.9144000000e-02	0.031250	0.000000	0.031250	0.031250
1.9152000000e-02	0.031250	0.000000	0.031250	0.031250
1.9160000000e-02	0.031250	0.000000	0.031250	0.031250
1.9168000000e-02	0.031250	0.000000	0.031250	0.031250
1.9176000000e-02	0.031250	0.000000	0.031250	0.031250
1.9184000000e-02	0.031250	0.000000	0.031250	0.031250
1.9192000000e-02	0.031250	0.031250	0.031250	0.031250
1.9200000000e-02	0.031250	0.000000	0.031250	0.031250
1.9208000000e-02	0.031250	0.000000	0.031250	0.031250
1.9216000000e-02	0.031250	0.000000	0.031250	0.031250
1.9224000000e-02	0.031250	0.000000	0.031250	0.031250
1.9232000000e-02	0.031250	0.000000	0.031250	0.031250
1.9240000000e-02	0.031250	0.000000	0.031250	0.031250
1.9248000000e-02	0.031250	0.000000	0.031250	0.031250
